name,value,latitude,longitude
Chattanooga,0.32,35.0456297,-85.3096801
Salisbury,0.24,51.068785,-1.794472
Wilkes%2FBarre%2F%2F%2FScranton,0.23,41.2414394,-75.8689708
Terre%2FHaute,0.41,39.4667034,-87.41390919999999
Lafayette%2FIn,0.85,40.4167022,-86.87528689999999
Alpena,1.0,45.0616794,-83.4327528
Charlottesville,1.0,38.0293059,-78.47667810000002
South%2FBend%2F%2F%2FElkhart,0.3,41.7575514,-86.11684009999999
Gainesville,0.58,29.6516344,-82.32482619999999
Zanesville,0.0,39.9403453,-82.0131924
Parkersburg,0.0,39.2667418,-81.56151349999999
Clarksburg%2F%2F%2FWeston,0.68,39.2616688,-80.2866225
Corpus%2FChristi,0.32,27.8005828,-97.39638099999999
Chicago,0.36,41.8781136,-87.6297982
Joplin%2F%2F%2FPittsburg,0.69,37.0621452,-94.5273302
Columbia%2F%2F%2FJefferson%2FCity,0.48,38.5709147,-92.2439177
Topeka,0.36,39.0473451,-95.67515759999999
Dothan,0.43,31.2232313,-85.3904888
Saint%2FLouis,0.32,38.6270025,-90.19940419999999
Rockford,0.35,42.2711311,-89.0939952
Rochester%2F%2F%2FMason%2FCity%2F%2F%2FAustin,0.34,43.15336720000001,-93.1983421
Shreveport,0.13,32.5251516,-93.7501789
Minneapolis%2F%2F%2FSaint%2FPaul,0.45,44.9374831,-93.20099979999999
Kansas%2FCity,0.44,39.0997265,-94.5785667
Houston,0.31,29.7604267,-95.3698028
Springfield%2FMo,0.26,37.2089572,-93.29229889999999
New%2FOrleans,0.36,29.95106579999999,-90.0715323
Dallas%2F%2F%2FFort%2FWorth,0.38,32.7766642,-96.79698789999999
Sioux%2FCity,0.44,42.4963416,-96.40494079999999
Wichita%2FFalls%2F%2F%2FLawton,0.0,33.904769,-98.48519399999999
Monroe%2F%2F%2FEl%2FDorado,0.12,33.2152498,-92.6406703
Birmingham,0.25,52.48624299999999,-1.890401
Ottumwa%2F%2F%2FKirksville,0.61,40.2649878,-92.5804557
Odessa%2F%2F%2FMidland,0.0,31.8456816,-102.3676431
Amarillo,0.77,35.2219971,-101.8312969
Austin%2FTexas,0.5,30.267153,-97.7430608
Cedar%2FRapids%2F%2F%2FWaterloo%2F%2F%2FDubuque,0.48,42.0113663,-91.6599013
Jackson%2FTn,0.26,35.6145169,-88.81394689999999
Memphis,0.08,35.1495343,-90.0489801
San%2FAntonio,0.33,29.4241219,-98.49362819999999
Lafayette%2FLa,0.43,30.2240897,-92.0198427
Lake%2FCharles,0.29,30.2265949,-93.2173758
Alexandria%2FLa,0.64,31.3112936,-92.4451371
Greenwood%2F%2F%2FGreenville,0.32,33.4073939,-91.0542366
Evansville,0.36,37.9715592,-87.5710898
Oklahoma%2FCity,0.52,35.4675602,-97.5164276
Lubbock,0.25,33.5778631,-101.8551665
Omaha,0.37,41.2565369,-95.9345034
Panama%2FCity,0.45,30.1588129,-85.6602058
Nashville,0.39,36.1626638,-86.7816016
San%2FAngelo,0.0,31.4637723,-100.4370375
Abilene%2F%2F%2FSweetwater,0.61,32.4106956,-99.76530199999999
Madison,0.58,43.0730517,-89.4012302
Fort%2FSmith%2F%2F%2FFayetteville%2F%2F%2FSpringdale%2F%2F%2FRogers,0.37,35.359951,-94.363511
Tulsa,0.17,36.1539816,-95.99277500000001
Peoria%2F%2F%2FBloomington,0.46,40.8141571,-89.6140222
Duluth%2F%2F%2FSuperior,0.17,46.78667189999999,-92.1004852
Wichita%2F%2F%2FHutchinson,0.43,37.750087,-97.229344
Des%2FMoines%2F%2F%2FAmes,0.58,41.997294,-93.647865
Davenport%2F%2F%2FRock%2FIsland%2F%2F%2FMoline,0.6,41.5067003,-90.51513419999999
Huntsville%2F%2F%2FDecatur%2F%2F%2FFlorence,0.33,34.6209885,-86.56586569999999
Beaumont%2F%2F%2FPort%2FArthur,0.34,30.080174,-94.1265562
Little%2FRock%2F%2F%2FPine%2FBluff,0.37,34.2468716,-92.0213392
Montgomery%2F%2F%2FSelma,0.42,32.4053348,-87.0184088
La%2FCrosse%2F%2F%2FEau%2FClaire,0.19,44.865176,-91.4744656
Wausau%2F%2F%2FRhinelander,0.14,45.6555505,-89.39200369999999
Tyler%2F%2F%2FLongview%2F%2F%2FLufkin%2F%2F%2FNacogdoches,0.23,31.2890905,-94.72912339999999
Hattiesburg%2F%2F%2FLaurel,0.04,31.468239,-89.335421
Baton%2FRouge,0.28,30.4514677,-91.18714659999999
Jackson%2FMs,0.34,32.2987573,-90.1848103
Lincoln%2F%2F%2FHastings%2F%2F%2FKearney,0.35,40.7234946,-99.08534759999999
Fargo%2F%2F%2FValley%2FCity,0.17,46.9243955,-98.00351859999999
Sioux%2FFalls%2F%2F%2FMitchell,0.33,43.5327778,-96.71519409999999
Jonesboro,0.8,35.84229670000001,-90.704279
Bowling%2FGreen,0.22,41.3797788,-83.6300826
Mankato,0.14,44.1635775,-93.99939959999999
North%2FPlatte,0.0,41.1402759,-100.7601454
Anchorage,0.4,61.2180556,-149.9002778
Honolulu,0.5,21.3069444,-157.8583333
Fairbanks,0.0,64.8377778,-147.7163888
Biloxi%2F%2F%2FGulfport,0.43,30.3674198,-89.0928155
Juneau,0.36,58.3019444,-134.4197221
Laredo,0.0,27.5035613,-99.5075519
Denver,0.47,39.7392358,-104.990251
Colorado%2FSprings%2F%2F%2FPueblo,0.26,38.9117395,-104.7887027
Phoenix,0.44,33.4483771,-112.0740373
Butte%2F%2F%2FBozeman,0.0,45.6722099,-111.0741296
Great%2FFalls,0.68,47.5052849,-111.3007715
Billings,0.43,45.7832856,-108.5006904
Boise,0.56,43.6150186,-116.2023137
Idaho%2FFalls%2F%2F%2FPocatello,0.14,42.8873577,-112.4508103
Cheyenne%2F%2F%2FScottsbluff,0.0,41.876312,-103.637984
Twin%2FFalls,0.71,42.5558381,-114.4700518
Missoula,0.42,46.8721284,-113.9940314
Rapid%2FCity,0.16,44.0805434,-103.2310149
El%2FPaso,0.27,31.7618778,-106.4850217
Salt%2FLake%2FCity,0.28,40.7607793,-111.8910474
Yuma%2F%2F%2FEl%2FCentro,0.25,32.6819318,-114.5884369
Grand%2FJunction%2F%2F%2FMontrose,0.43,39.0705967,-108.5590711
Tucson%2F%2F%2FSierra%2FVista,0.49,32.2711134,-110.9615724
Albuquerque%2F%2F%2FSanta%2FFe,0.33,35.0843859,-106.650422
Glendive,0.0,47.106401,-104.7107931
Bakersfield,0.39,35.3732921,-119.0187125
Eugene,0.52,44.0520691,-123.0867536
Los%2FAngeles,0.48,34.0522342,-118.2436849
Palm%2FSprings,0.64,33.8302961,-116.5452921
Yakima%2F%2F%2FPasco%2F%2F%2FRichland%2F%2F%2FKennewick,0.09,46.2189837,-119.1436266
Reno,0.35,39.5296329,-119.8138027
Medford%2F%2F%2FKlamath%2FFalls,0.35,42.224924,-121.7722781
Seattle%2F%2F%2FTacoma,0.46,47.4502499,-122.3088165
Portland%2FOr,0.42,45.5122308,-122.6587185
Bend%2FOr,0.32,44.0581728,-121.3153096
San%2FDiego,0.32,32.715738,-117.1610838
Monterey%2F%2F%2FSalinas,0.61,36.6762108,-121.6568018
Las%2FVegas,0.46,36.1699412,-115.1398296
Santa%2FBarbara%2F%2F%2FSanta%2FMaria%2F%2F%2FSan%2FLuis%2FObispo,0.43,35.2707093,-120.6560513
Sacramento%2F%2F%2FStockton%2F%2F%2FModesto,0.46,38.5815719,-121.4943996
Fresno%2F%2F%2FVisalia,0.36,36.331276,-119.394119
Spokane,0.48,47.6587802,-117.4260465
