question,response,price_chopper_zscore
Get married (Life events planned in the next 12 months),No,0.33
Other (Decision making responsibility),No,0.328
age,90.0,0.328
Divorce/separate from long-term partner / End an intimate relationship,No,0.326
Age (6-way) 18-24 / 25-34 / 35-44 / 45-54 / 55-64 / 65+,45-54,0.325
Age (5-way) 18-24 / 25-34 / 35-44 / 45-54 / 55+,45-54,0.325
5 years old,No,0.325
So I could move out,No,0.324
age,68.0,0.322
9th Oldest Child Age,Not Applicable,0.32
13,Yes,0.316
Sheep (Pets owned in household),No,0.315
Not applicable - I don't have any animals,Yes,0.315
Retired,Yes,0.314
Country of Birth,Netherlands,0.312
3rd Oldest Child Age,2,0.311
Guinea pig (Working animals owned in household),No,0.306
Data protection,No,0.305
Hamster (Working animals owned in household),No,0.304
Guinea pig (Animals (pets or working) owned in household),No,0.303
Years Disabled,0,0.301
2,No,0.296
age,24.0,0.296
Gotten married,No,0.292
Sheep (Animals (pets or working) owned in household),No,0.289
14 years old,Yes,0.288
Under 6 months old,No,0.285
10th Oldest Child Age,Not Applicable,0.282
Marital Status,Married,0.282
Computer sciences (e.g., IT, programming, etc.),No,0.279
To improve the world,No,0.278
Rabbit (Animals (pets or working) owned in household),No,0.276
Birth Year,1950.0,0.268
17,Yes,0.268
Like or dislike job,Not Applicable – I do not currently work,0.267
Better working environment,No,0.265
Art / fine art / performing arts,No,0.263
Pay more money,Yes,0.263
Extra money,No,0.26
Cow (Pets owned in household),No,0.259
Don't know (foreign languages spoken),Yes,0.257
Level of government currently working for,Not applicable – I am currently not employed,0.256
Level of management at employer,Not applicable – I am currently not employed,0.255
Facilities / premises / health & safety,Yes,0.252
Employment Status,Permanently disabled,0.248
Sheep (Working animals owned in household),No,0.248
age,51.0,0.247
Pig (Animals (pets or working) owned in household),No,0.246
Type of school/university currently working for,Public secondary school (includes middle-school or junior high),0.246
8,No,0.245
Making the world a better place,Yes,0.244
Living with child(ren) who are over 18,No,0.243
Snake (Pets owned in household),Yes,0.242
Moved in with partner,No,0.239
Oldest Child Age,17,0.236
Education,Post-grad,0.23
Household - time since last moved,5 to less than 10 years,0.229
11,Yes,0.229
Employment Status,Part-time,0.228
age,70.0,0.223
In the market for a new job,Somewhat likely,0.219
Type of Area Living In,Town,0.219
Type of school/university currently working for,Other,0.218
Cow (Animals (pets or working) owned in household),No,0.217
Finish school/college,No,0.216
Served Active Duty,Yes, on active duty in the past, but not during the last 12 months,0.215
Pig (Pets owned in household),No,0.211
Goat (Working animals owned in household),No,0.21
Type of school/university currently working for,Not applicable – I am currently not employed,0.21
Prefer not to say (Ages of grandchildren),No,0.207
Goat (Animals (pets or working) owned in household),No,0.206
HR/ personnel,Yes,0.206
Recruitment,No,0.204
Interaction with fewer people,Yes,0.202
Horse or pony (Working animals owned in household),No,0.201
Retire,No,0.201
Birth Year,1994.0,0.2
Kid 3 Gender,Female,0.199
Romanian (foreign languages spoken),Yes,0.198
Pig (Working animals owned in household),No,0.195
Horse or pony (Pets owned in household),Yes,0.19
age,43.0,0.188
Union membership household,Never have belonged to a labor union,0.187
Conferences,Yes,0.187
Company Size,Not applicable - I am not currently employed,0.184
Education,High school graduate,0.184
Other (mixed race),No,0.178
2nd Oldest Child Age,11,0.178
Age 21 or Older,under 21,0.174
Birth Year,1965.0,0.168
Source where most recent pet is from,Don’t know,0.167
Birth Year,1975.0,0.164
Experienced loss of close friend or family member,No,0.162
General shift hours,Day time shift (e.g. 9am – 5pm, or 7am – 4pm, etc.),0.161
French (foreign languages spoken),No,0.16
Garden size,1-2 tennis courts (approximately 2,501 sq ft-5,000 sq ft),0.158
Job Title,Not applicable - I am not currently employed,0.154
Kid 4 Gender,Not applicable - I do not have a child under 18,0.152
Goat (Pets owned in household),No,0.151
Other (Degree subject studied),No,0.151
Living with parent(s),Yes,0.151
Allow more free time,No,0.145
Fish (including outdoor) (Animals (pets or working) owned in household),Yes,0.144
Move back into parental home,No,0.143
Change jobs,No,0.143
Employment Status,Unemployed,0.141
Birth Year,1947.0,0.141
Purchase first home,Yes,0.139
Marital Status,Widowed,0.139
I live alone,Yes,0.138
Electricity / gas supply,Yes,0.138
age,33.0,0.137
3 years old,No,0.136
Kid 4 Gender,Female,0.135
Birth of a grandchild,Yes,0.135
Not applicable – I don't work,Yes,0.134
State of Residence,Iowa,0.133
Level of management at employer,Not applicable - I am not currently employed at management level,0.132
NAICS Industry Code,Health Care and Social Assistance,0.131
Profession or job,Other HR Professional,0.13
School type - currently attending,Undergraduate at 4-year college or university,0.13
Designated Market Area (DMA),Bangor,0.129
NAICS Industry Code,Not applicable – I am currently not employed,0.129
Native American,No,0.127
Birth Year,1970.0,0.125
Household size (1),9.0,0.123
Business development / sales,No,0.12
Type of organization currently working for,Not applicable - I am not currently employed,0.119
Management responsibility at employer,Not applicable - I am not currently employed,0.119
Who is responsible for choosing work hours,Not applicable – I do not work,0.118
General shift hours,Not applicable – I do not work,0.118
Worksite type,Not applicable – I do not work,0.118
Annual Company Revenue,Not applicable - I am not currently employed,0.116
Guinea pig (Pets owned in household),No,0.115
Advertising / direct marketing / PR,No,0.109
2nd Oldest Child Age,14,0.103
State of Residence,Pennsylvania,0.103
Company Size,51-100,0.097
Designated Market Area (DMA),Birmingham,0.095
Child went to University,Yes,0.094
Horse or pony (Animals (pets or working) owned in household),Yes,0.088
Number of children under 18 in household,1.0,0.086
Sold and purchased a house/flat (i.e. in one transaction),No,0.085
4 years old,No,0.085
To give back (Reasons for joining career field),Yes,0.083
To support my family,No,0.076
4th Oldest Child Age,Not Applicable,0.075
Business (Degree subject studied),Yes,0.073
18 years old or over,No,0.07
11 years old,No,0.07
Travel and hotel bookings,No,0.064
Other (Pets owned in household),Yes,0.063
Company credit/charge cards,No,0.063
Designated Market Area (DMA),Boston,0.062
It’s my real passion,No,0.062
Profession or job,Not applicable - I am not currently employed,0.06
Number of children under 18 in household,6.0,0.056
Individual Income,Prefer not to say,0.055
New pet timeframe,Not applicable – I am not planning to get a pet/another pet,0.054
Annual Company Revenue,$6 Million to $10 Million,0.053
Source where most recent pet is from,Rescue centre or (animal) charity,0.052
Management responsibility at employer,No,0.049
Birth Year,1956.0,0.047
Level of management at employer,Head of a team, group, or small organization within your employer,0.045
Education,Some college,0.045
Oldest Child Age,4,0.041
age,88.0,0.041
12,No,0.037
Would switch careers if money was no object,Yes,0.036
Household - time since last moved,1 to less than 3 years,0.035
Type school attending,Private,0.027
13 years old,No,0.022
Cow (Working animals owned in household),No,0.02
Training and development,Yes,0.019
Generation,Gen X (1965-1981),0.019
age,30.0,0.018
Between 6 and 12 months old,Yes,0.018
Have a child get married,Yes,0.018
Birth Year,1968.0,0.017
age,62.0,0.014
9 (Ages of children < 18 in household),Yes,0.012
For fun (Reasons for having a side job),Yes,0.01
Telecoms,Yes,0.008
Snake (Animals (pets or working) owned in household),No,0.008
General shift hours,My shifts change/are on a rotation,0.005
Birth Year,1930.0,0.0
3rd Oldest Child Age,80,0.0
3rd Oldest Child Age,78,0.0
3rd Oldest Child Age,79,0.0
8th Oldest Child Age,2,0.0
State of Residence,American Samoa,0.0
3rd Oldest Child Age,59,0.0
8th Oldest Child Age,3,0.0
3rd Oldest Child Age,60,0.0
3rd Oldest Child Age,66,0.0
3rd Oldest Child Age,77,0.0
3rd Oldest Child Age,76,0.0
3rd Oldest Child Age,68,0.0
3rd Oldest Child Age,69,0.0
3rd Oldest Child Age,70,0.0
Household size (1),19.0,0.0
3rd Oldest Child Age,65,0.0
3rd Oldest Child Age,71,0.0
Household size (1),16.0,0.0
3rd Oldest Child Age,72,0.0
3rd Oldest Child Age,64,0.0
3rd Oldest Child Age,73,0.0
3rd Oldest Child Age,63,0.0
3rd Oldest Child Age,62,0.0
State of Residence,Guam,0.0
3rd Oldest Child Age,74,0.0
3rd Oldest Child Age,61,0.0
3rd Oldest Child Age,67,0.0
3rd Oldest Child Age,75,0.0
Country of Birth,Antarctica,0.0
State of Residence,U.S. Minor Outlying Islands,0.0
State of Residence,Marshall Islands,0.0
8th Oldest Child Age,5,0.0
8th Oldest Child Age,26,0.0
8th Oldest Child Age,27,0.0
8th Oldest Child Age,28,0.0
8th Oldest Child Age,29,0.0
8th Oldest Child Age,30,0.0
8th Oldest Child Age,31,0.0
8th Oldest Child Age,32,0.0
8th Oldest Child Age,33,0.0
8th Oldest Child Age,34,0.0
8th Oldest Child Age,35,0.0
8th Oldest Child Age,36,0.0
8th Oldest Child Age,37,0.0
8th Oldest Child Age,43,0.0
8th Oldest Child Age,38,0.0
8th Oldest Child Age,39,0.0
8th Oldest Child Age,40,0.0
Designated Market Area (DMA),Glendive,0.0
8th Oldest Child Age,41,0.0
8th Oldest Child Age,42,0.0
8th Oldest Child Age,25,0.0
8th Oldest Child Age,24,0.0
8th Oldest Child Age,23,0.0
8th Oldest Child Age,12,0.0
State of Residence,Northern Mariana Islands,0.0
State of Residence,Pala,0.0
8th Oldest Child Age,7,0.0
8th Oldest Child Age,8,0.0
State of Residence,Virgin Islands,0.0
8th Oldest Child Age,10,0.0
State of Residence,Manitoba,0.0
8th Oldest Child Age,11,0.0
State of Residence,Nova Scotia,0.0
8th Oldest Child Age,22,0.0
8th Oldest Child Age,13,0.0
State of Residence,Nunavut,0.0
8th Oldest Child Age,15,0.0
3rd Oldest Child Age,58,0.0
8th Oldest Child Age,18,0.0
8th Oldest Child Age,19,0.0
8th Oldest Child Age,20,0.0
8th Oldest Child Age,21,0.0
8th Oldest Child Age,17,0.0
2nd Oldest Child Age,73,0.0
3rd Oldest Child Age,57,0.0
3rd Oldest Child Age,56,0.0
Oldest Child Age,26,0.0
Oldest Child Age,25,0.0
Oldest Child Age,24,0.0
Oldest Child Age,23,0.0
Oldest Child Age,22,0.0
Oldest Child Age,21,0.0
Oldest Child Age,20,0.0
Oldest Child Age,19,0.0
2nd Oldest Child Age,57,0.0
2nd Oldest Child Age,58,0.0
2nd Oldest Child Age,59,0.0
2nd Oldest Child Age,60,0.0
2nd Oldest Child Age,61,0.0
2nd Oldest Child Age,62,0.0
2nd Oldest Child Age,63,0.0
2nd Oldest Child Age,64,0.0
2nd Oldest Child Age,65,0.0
2nd Oldest Child Age,66,0.0
2nd Oldest Child Age,67,0.0
2nd Oldest Child Age,68,0.0
2nd Oldest Child Age,69,0.0
Oldest Child Age,27,0.0
Oldest Child Age,28,0.0
Oldest Child Age,29,0.0
Oldest Child Age,41,0.0
Oldest Child Age,50,0.0
Oldest Child Age,49,0.0
Oldest Child Age,48,0.0
Oldest Child Age,47,0.0
Oldest Child Age,46,0.0
Oldest Child Age,45,0.0
Oldest Child Age,44,0.0
Oldest Child Age,43,0.0
Oldest Child Age,42,0.0
Oldest Child Age,40,0.0
Oldest Child Age,30,0.0
Oldest Child Age,39,0.0
Oldest Child Age,38,0.0
Oldest Child Age,37,0.0
Oldest Child Age,36,0.0
Oldest Child Age,35,0.0
Oldest Child Age,34,0.0
Oldest Child Age,33,0.0
Oldest Child Age,32,0.0
Oldest Child Age,31,0.0
2nd Oldest Child Age,70,0.0
2nd Oldest Child Age,71,0.0
2nd Oldest Child Age,72,0.0
3rd Oldest Child Age,45,0.0
3rd Oldest Child Age,36,0.0
3rd Oldest Child Age,37,0.0
3rd Oldest Child Age,38,0.0
3rd Oldest Child Age,39,0.0
3rd Oldest Child Age,40,0.0
3rd Oldest Child Age,41,0.0
3rd Oldest Child Age,42,0.0
3rd Oldest Child Age,43,0.0
3rd Oldest Child Age,44,0.0
3rd Oldest Child Age,46,0.0
8th Oldest Child Age,45,0.0
3rd Oldest Child Age,47,0.0
3rd Oldest Child Age,48,0.0
3rd Oldest Child Age,49,0.0
3rd Oldest Child Age,50,0.0
3rd Oldest Child Age,51,0.0
3rd Oldest Child Age,52,0.0
3rd Oldest Child Age,53,0.0
3rd Oldest Child Age,54,0.0
3rd Oldest Child Age,55,0.0
3rd Oldest Child Age,35,0.0
3rd Oldest Child Age,34,0.0
2nd Oldest Child Age,74,0.0
3rd Oldest Child Age,22,0.0
2nd Oldest Child Age,75,0.0
2nd Oldest Child Age,76,0.0
2nd Oldest Child Age,77,0.0
2nd Oldest Child Age,78,0.0
2nd Oldest Child Age,79,0.0
2nd Oldest Child Age,80,0.0
3rd Oldest Child Age,19,0.0
3rd Oldest Child Age,20,0.0
3rd Oldest Child Age,21,0.0
3rd Oldest Child Age,23,0.0
3rd Oldest Child Age,33,0.0
3rd Oldest Child Age,24,0.0
3rd Oldest Child Age,25,0.0
3rd Oldest Child Age,26,0.0
